countryname,iso_alpha3,countrynumericcode,regionalbureau,regionalmission,regionalmissioncode,usaidpresencetype,bilateralmission,nonpresencecountry,stip,cityofbilateralmission,latitude,longitude
Syria,SYR,760,Middle East,,,2,0,1,0,,,
Tajikistan,TJK,762,Asia,Central Asian Republics,CAR,1,1,0,0,Dushanbe,38.536667,68.779999
Thailand,THA,764,Asia,Regional Development Mission for Asia,RDMA,2,0,1,0,,,
Togo,TGO,768,Africa,West Africa,WA,2,0,1,0,,,
Tokelau,TKL,772,,,,3,,,,,,
Tonga,TON,776,Asia,Pacific Islands,PI,2,0,1,0,,,
Trinidad and Tobago,TTO,780,Latin America and the Carribean,Barbados and Easter Caribbean,EC,2,0,1,0,,,
United Arab Emirates,ARE,784,,,,3,,,,,,
Tunisia,TUN,788,Middle East,Office of Middle East Programs,OMEP,2,0,1,0,,,
Turkey,TUR,792,,,,3,,,,,,
Turkmenistan,TKM,795,Asia,Central Asian Republics,CAR,1,1,0,0,Ashgabad,37.933334,58.366669
Turks and Caicos Islands,TCA,796,,,,3,,,,,,
Tuvalu,TUV,798,Asia,Pacific Islands,PI,2,0,1,0,,,
Uganda,UGA,800,Africa,East Africa,EA,1,1,0,1,Kampala,.313611,32.581112
Ukraine,UKR,804,Europe and Eurasia,"Ukraine, Belarus and Moldova",UBM,1,1,0,0,Kyiv,50.4501,30.523399
Macedonia,MKD,807,Europe and Eurasia,Regional Service Center,RSC,1,1,0,0,Skopje,41.997345,21.427996
Egypt,EGY,818,Middle East,Office of Middle East Programs,OMEP,1,1,0,1,Cairo,30.04442,31.235712
United Kingdom,GBR,826,,,,3,,,,,,
Isle of Man,IMN,833,,,,3,,,,,,
Tanzania,TZA,834,Africa,Southern Africa,SA,1,1,0,0,Dar es Salaam,-6.8229208,39.269661
United States,USA,840,,,,3,,,,,,
Virgin Islands,VIR,850,,,,3,,,,,,
Burkina Faso,BFA,854,Africa,West Africa,WA,1,1,0,0,Ouagadougou,12.364637,-1.533864
Uruguay,URY,858,,,,3,,,,,,
Uzbekistan,UZB,860,Asia,Central Asian Republics,CAR,1,1,0,0,Tashkent,41.266666,69.216667
Venezuela,VEN,862,,,,3,,,,,,
Wake Island,UMI,872,,,,3,,,,,,
Wallis and Futuna,WLF,876,,,,3,,,,,,
Samoa,WSM,882,Asia,Pacific Islands,PI,2,0,1,0,,,
Yemen,YEM,887,Middle East,Office of Middle East Programs,OMEP,1,1,0,1,Sana'a,15.352029,44.207455
Zambia,ZMB,894,Africa,Southern Africa,SA,1,1,0,0,Lusaka,-15.408193,28.287167
South Sudan,OD,900,Africa,,,1,1,0,0,Juba,4.8499999,31.6
Paracel Islands,xxx,901,,,,3,,,,,,
Kosovo,KV,902,Europe and Eurasia,Regional Service Center,RSC,1,1,0,0,Pristina,42.672421,21.164539
Juan De Nova Island,yyy,903,,,,3,,,,,,
Jan Mayen,SJM,904,,,,3,,,,,,
Howland Island,UMI,905,,,,3,,,,,,
